word,cluster
elephant,2
leopard,2
dog,2
cat,2
aligator,2
ant,2
baboon,2
bear,2
bat,2
butterfly,2
camel,2
catfish,2
fish,2
cow,2
crow,2
boa,2
dolphin,2
donkey,2
eagle,2
falcon,2
fox,2
frog,2
gecko,2
giraffe,2
goat,2
gibbon,2
hampster,2
hawk,2
hare,2
horse,2
hummingbird,2
hippopotamus,2
iguana,2
jaguar,2
kangaroo,2
lion,2
leech,2
mouse,2
mosquito,2
owl,2
panda,2
penguin,2
parrot,2
peacock,2
rabbit,2
raven,2
shark,2
snake,2
spider,2
tiger,2
afghanistan,0
albania,0
algeria,0
andorra,0
angola,0
argentina,0
armenia,0
aruba,0
australia,0
austria,0
azerbaijan,0
bahrain,0
bangladesh,0
barbados,0
belarus,0
belgium,0
belize,0
benin,0
bhutan,0
bolivia,0
botswana,0
brazil,0
brunei,0
bulgaria,0
burma,0
burundi,0
cambodia,0
cameroon,0
canada,0
chad,0
chile,0
china,0
colombia,0
comoros,0
croatia,0
cuba,0
curacao,0
cyprus,0
czechia,0
denmark,0
djibouti,0
dominica,0
ecuador,0
egypt,0
eritrea,0
estonia,0
ethiopia,0
fiji,0
finland,0
france,0
gabon,0
georgia,2
germany,0
ghana,0
greece,0
grenada,0
guatemala,0
guinea,0
guinea-bissau,0
guyana,0
haiti,0
honduras,0
hungary,0
iceland,0
india,0
indonesia,0
iran,0
iraq,0
ireland,0
israel,0
italy,0
jamaica,0
japan,0
kazakhstan,0
kenya,0
kiribati,0
kosovo,0
kuwait,0
kyrgyzstan,0
laos,0
latvia,0
lebanon,0
lesotho,0
liberia,0
libya,0
liechtenstein,0
lithuania,0
luxembourg,0
macau,0
macedonia,0
madagascar,0
malawi,0
malaysia,0
maldives,0
mali,0
malta,0
mauritania,0
mauritius,0
mexico,0
micronesia,0
moldova,0
monaco,0
mongolia,0
montenegro,0
morocco,0
mozambique,0
namibia,0
nauru,0
nepal,0
netherlands,0
nicaragua,0
niger,0
nigeria,0
norway,0
oman,0
pakistan,0
palau,0
panama,0
paraguay,0
peru,0
philippines,0
poland,0
portugal,0
qatar,0
romania,0
russia,0
rwanda,0
samoa,0
senegal,0
serbia,0
seychelles,0
singapore,0
slovakia,0
somalia,0
spain,0
sudan,0
suriname,0
swaziland,0
sweden,0
switzerland,0
syria,0
taiwan,0
tajikistan,0
tanzania,0
thailand,0
togo,0
tonga,0
tunisia,0
turkey,0
turkmenistan,0
tuvalu,0
uganda,0
ukraine,0
uruguay,0
uzbekistan,0
vanuatu,0
venezuela,0
vietnam,0
yemen,0
zambia,0
zimbabwe,0
apple,2
apricot,1
avocado,1
banana,1
bilberry,1
blackberry,2
blackcurrant,1
blueberry,1
boysenberry,1
currant,1
cherry,2
cherimoya,1
cloudberry,1
coconut,1
cranberry,1
cucumber,1
damson,1
dragonfruit,1
durian,1
elderberry,1
feijoa,1
fig,1
gooseberry,1
grape,1
raisin,1
grapefruit,1
guava,1
honeyberry,1
huckleberry,2
jabuticaba,2
jackfruit,1
jambul,1
jujube,1
kiwano,1
kiwifruit,1
kumquat,1
lemon,1
lime,1
loquat,1
longan,1
lychee,1
mango,1
mangosteen,1
marionberry,1
melon,1
cantaloupe,1
honeydew,1
watermelon,1
mulberry,2
nectarine,1
nance,2
olive,1
orange,2
clementine,1
mandarine,1
tangerine,1
papaya,1
peach,1
aubergine,1
amaranth,1
asparagus,1
legumes,1
beans,1
chickpeas,1
lentils,1
peas,1
broccoli,1
cabbage,1
kohlrabi,1
cauliflower,1
celery,1
endive,1
fiddleheads,1
frisee,1
fennel,1
greens,1
kale,1
spinach,1
anise,1
basil,1
caraway,1
cilantro,1
coriander,1
chamomile,1
dill,1
lavender,1
marjoram,1
oregano,1
parsley,1
rosemary,1
sage,1
thyme,1
lettuce,1
arugula,1
mushrooms,1
nettles,1
okra,1
onions,1
chives,1
garlic,1
leek,1
onion,1
shallot,1
peppers,1
habanero,1
paprika,1
radicchio,1
rhubarb,1
turnip,1
radish,1
courgette,1
pumpkin,1
potato,1
quandong,2
sunchokes,1
zucchini,1
