word,cluster
elephant,1
leopard,1
dog,1
cat,1
aligator,1
ant,1
baboon,1
bear,1
bat,1
butterfly,1
camel,1
catfish,1
fish,1
cow,1
crow,1
boa,1
dolphin,1
donkey,1
eagle,1
falcon,1
fox,1
frog,1
gecko,1
giraffe,1
goat,1
gibbon,1
hampster,1
hawk,1
hare,1
horse,1
hummingbird,1
hippopotamus,1
iguana,1
jaguar,1
kangaroo,1
lion,1
leech,1
mouse,1
mosquito,1
owl,1
panda,1
penguin,1
parrot,1
peacock,1
rabbit,1
raven,1
shark,1
snake,1
spider,1
tiger,1
afghanistan,0
albania,0
algeria,0
andorra,0
angola,0
argentina,0
armenia,0
aruba,0
australia,0
austria,0
azerbaijan,0
bahrain,0
bangladesh,0
barbados,0
belarus,0
belgium,0
belize,0
benin,0
bhutan,0
bolivia,0
botswana,0
brazil,0
brunei,0
bulgaria,0
burma,0
burundi,0
cambodia,0
cameroon,0
canada,0
chad,0
chile,0
china,0
colombia,0
comoros,0
croatia,0
cuba,0
curacao,0
cyprus,0
czechia,0
denmark,0
djibouti,0
dominica,0
ecuador,0
egypt,0
eritrea,0
estonia,0
ethiopia,0
fiji,0
finland,0
france,0
gabon,0
georgia,1
germany,0
ghana,0
greece,0
grenada,0
guatemala,0
guinea,0
guinea-bissau,0
guyana,0
haiti,0
honduras,0
hungary,0
iceland,0
india,0
indonesia,0
iran,0
iraq,0
ireland,0
israel,0
italy,0
jamaica,0
japan,0
kazakhstan,0
kenya,0
kiribati,0
kosovo,0
kuwait,0
kyrgyzstan,0
laos,0
latvia,0
lebanon,0
lesotho,0
liberia,0
libya,0
liechtenstein,0
lithuania,0
luxembourg,0
macau,0
macedonia,0
madagascar,0
malawi,0
malaysia,0
maldives,0
mali,0
malta,0
mauritania,0
mauritius,0
mexico,0
micronesia,0
moldova,0
monaco,0
mongolia,0
montenegro,0
morocco,0
mozambique,0
namibia,0
nauru,0
nepal,0
netherlands,0
nicaragua,0
niger,0
nigeria,0
norway,0
oman,0
pakistan,0
palau,0
panama,0
paraguay,0
peru,0
philippines,0
poland,0
portugal,0
qatar,0
romania,0
russia,0
rwanda,0
samoa,0
senegal,0
serbia,0
seychelles,0
singapore,0
slovakia,0
somalia,0
spain,0
sudan,0
suriname,0
swaziland,0
sweden,0
switzerland,0
syria,0
taiwan,0
tajikistan,0
tanzania,0
thailand,0
togo,0
tonga,0
tunisia,0
turkey,0
turkmenistan,0
tuvalu,0
uganda,0
ukraine,0
uruguay,0
uzbekistan,0
vanuatu,0
venezuela,0
vietnam,0
yemen,0
zambia,0
zimbabwe,0
apple,1
apricot,2
avocado,2
banana,2
bilberry,2
blackberry,1
blackcurrant,2
blueberry,2
boysenberry,2
currant,2
cherry,1
cherimoya,2
cloudberry,2
coconut,2
cranberry,2
cucumber,2
damson,2
dragonfruit,2
durian,2
elderberry,2
feijoa,2
fig,2
gooseberry,2
grape,2
raisin,2
grapefruit,2
guava,2
honeyberry,2
huckleberry,1
jabuticaba,1
jackfruit,2
jambul,2
jujube,2
kiwano,2
kiwifruit,2
kumquat,2
lemon,2
lime,2
loquat,2
longan,2
lychee,2
mango,2
mangosteen,2
marionberry,2
melon,2
cantaloupe,2
honeydew,2
watermelon,2
mulberry,1
nectarine,2
nance,1
olive,2
orange,1
clementine,2
mandarine,2
tangerine,2
papaya,2
peach,2
aubergine,2
amaranth,2
asparagus,2
legumes,2
beans,2
chickpeas,2
lentils,2
peas,2
broccoli,2
cabbage,2
kohlrabi,2
cauliflower,2
celery,2
endive,2
fiddleheads,2
frisee,2
fennel,2
greens,2
kale,2
spinach,2
anise,2
basil,2
caraway,2
cilantro,2
coriander,2
chamomile,2
dill,2
lavender,2
marjoram,2
oregano,2
parsley,2
rosemary,2
sage,2
thyme,2
lettuce,2
arugula,2
mushrooms,2
nettles,2
okra,2
onions,2
chives,2
garlic,2
leek,2
onion,2
shallot,2
peppers,2
habanero,2
paprika,2
radicchio,2
rhubarb,2
turnip,2
radish,2
courgette,2
pumpkin,2
potato,2
quandong,1
sunchokes,2
zucchini,2
